stop_code,stop_name
5619,Lincoln Park Avenue
5621,Makora Road
1550,Helleur Road
5911,Massey Leisure Centre
5563,St Paul's School
1690,Royal Road/Don Buck Road roundabout
5896,Beauchamp Drive
1688,Yule Place
5589,Triangle Road/Bellringer Road
5608,18 Reynella Drive
5610,Gallony Avenue
5612,Talmar Place
5614,Waimumu Road
5609,Dovey Place
5607,Keegan Drive
5605,Chorley Avenue
5618,Chorley Avenue
5620,Keegan Drive
5622,Dovey Place
5601,Waimumu Road
5599,Talmar Place
5597,Gallony Avenue
5595,7 Reynella Drive
5625,Faram Place
1669,Yule Place
5567,Beauchamp Drive
5565,Royal Road/Don Buck Road roundabout
5574,Royal Road roundabout
5902,St Paul's School
1548,Massey Leisure Centre
5841,Stop A Henderson Station
5854,Unitec Waitakere
5434,22 Swanson Road
5424,Swanson Road/Sturges Road Station
5422,Waitemata Rugby Club
5420,114 Swanson Road
5418,Swanson Road/Waitakere College
5416,Mihini Road
5414,Universal Drive roundabout
5556,Sabot Place
5558,Helena Street
5560,Zita Maria Drive
5562,Chamberlain Road
5564,Donovan Avenue
5566,Malmo Place
5568,Massey High School
5570,Massey Birdwood Settlers
5572,Massey West Shops
1544,Luckens Rd
5830,Westpark Drive
5832,Marina View Drive
5834,Hobsonville School
1646,Squadron Drive/Buckley Avenue
3163,Pounamu Avenue
3601,Marae Road
3756,Greenhithe Shops
3603,Greenhithe School
4280,Wainoni Park
3768,Durbin Court
4223,Stop D Constellation
4271,Orwell Road
4325,Wainoni Park
3599,Greenhithe School
4305,Greenhithe Shops
3678,Marae Road
3684,Pounamu Avenue
1645,Squadron Drive/Buckley Avenue
5811,Hobsonville School
1697,151D Hobsonville Road
5813,Luckens Road
5561,Royal Road roundabout
5559,Massey West Shops
5557,Massey Birdwood Settlers
5873,Massey High School
5555,Malmo Place
5553,Donovan Avenue
5551,Chamberlain Road
5549,Zita Maria Drive
5547,Helena Street
5545,67 Don Buck Road
5543,49 Don Buck Road
5541,Sabot Place
5407,Universal Drive roundabout
5409,Mihini Road
5411,Swanson Road/Waitakere College
5413,105 Swanson Road
5415,Waitemata Rugby Club
5881,Sturges Road
5973,Lincoln Road
5837,Unitec Waitakere
5860,Stop B Henderson Station
4222,Stop A Constellation
3219,Stop A Sunnynook
3360,Stop A Smales Farm
4083,Stop C Akoranga
4085,Stop E Akoranga
3355,Stop B Smales Farm
3221,Stop B Sunnynook
4572,10 Parlane Dr
4583,Maple Lane
4587,Huapai Domain
4531,Tapu Road/Main Road
4870,St Patricks Catholic Church
4868,Huapai Shops
4866,Kumeu Village (west end)
4864,Kumeu Village (east end)
4537,Taupaki Road roundabout
4885,Coatesville-Riverhead Highway
5717,Kennedys Road
5715,Fred Taylor Park
5713,Hailes Road
5711,109 Fred Taylor Drive
1555,Stop A Westgate
5972,Te Hauauru Park
5728,Westgate Lifestyle Shopping Centre
5708,Maki Street
5729,Kawakawa Place
5738,156 Fred Taylor Drive
5740,Hailes Road
5742,Fred Taylor Park
5744,Kennedys Road
4938,Taupaki Road roundabout
4889,Kumeu Village (west end)
4891,Huapai Shops
4532,Tapu Road/Main Road
4568,Huapai Domain
4570,Maple Lane
4558,Brian Borich Park
4509,Huapai District School
4519,Station Road/Podgora Avenue
4529,Jane Maree Road
4536,Lumbarda Drive
4574,Helensville School
4576,Cabeleigh Drive
4904,Kaipara College
4936,Kaipara College
4533,Cabeleigh Drive
4585,Miro Street
4923,Kaipara Medical Centre
4921,Rimu Street
4925,Mill Road Shops
4931,Parakai shops
4933,Parakai Springs
4503,Springs Road
4935,Springs Road
4908,Parakai Springs
4906,Fordyce Road
4894,Rimmer Road
4890,Woodhill School
4886,Mcpike Road
4876,Waimauku - Muriwai Road
4524,Waimauku Park and Ride
4872,Trigg Road
4893,Trigg Road
4897,Matua Road
4521,Waimauku Park and Ride
4978,Waimauku - Muriwai Road
4903,991 State Highway 16
4907,Woodhill Park Road
