source,target,route_id
8272,7288,24B-202
7288,8274,24B-202
8274,8265,24B-202
8265,8300,24B-202
8265,8167,67A-202
8300,1406,24B-202
1406,8325,24B-202
8325,8306,24B-202
8306,8323,24B-202
8323,8308,24B-202
8308,8321,24B-202
8321,8310,24B-202
8310,8319,24B-202
8319,8312,24B-202
8312,8317,24B-202
8317,8314,24B-202
8314,8315,24B-202
8313,8316,24B-202
8316,8318,24B-202
8318,8311,24B-202
8311,8320,24B-202
8320,8309,24B-202
8309,8322,24B-202
8322,8307,24B-202
8307,8324,24B-202
8324,8305,24B-202
8305,8326,24B-202
8326,8303,24B-202
8303,8266,24B-202
8266,7167,24B-202
8266,8164,67A-202
7167,8273,24B-202
8273,8301,24B-202
8301,8271,24B-202
8271,8207,24B-202
8278,8205,24B-202
8280,8203,24B-202
1720,8201,24B-202
8296,7151,24B-202
8298,7149,24B-202
7033,1641,24B-202
1641,8371,24B-202
8371,8369,24B-202
8369,8367,24B-202
8367,8365,24B-202
8365,8462,24B-202
8822,8824,66-203
8824,8849,66-203
8833,8842,66-203
8831,8846,66-203
8829,8848,66-203
7064,6606,309-203
7063,6957,309-221
7055,6626,309-221
8596,8163,67A-202
8499,8158,67A-202
8594,8598,67A-202
7285,8160,67A-202
7147,1936,72X-205
7140,6573,321-202
7140,6235,72X-205
7146,2013,321-202
8847,8828,66-203
7145,7141,72X-205
7141,2005,321-202
7141,6212,72X-205
1536,7500,321-202
8853,8820,66-203
8852,1836,66-203
7503,7502,321-202
1836,8821,66-203
8851,8822,66-203
7164,6328,309-203
7501,1745,321-202
8849,8826,66-203
1834,8819,66-203
7170,7176,309-203
1873,8847,66-203
7176,4078,966-203
8606,1335,321-202
8608,7637,321-202
8610,1333,321-202
1831,8816,66-203
1833,8818,66-203
8613,7630,321-202
1411,1354,321-202
8609,8607,321-202
8607,7634,321-202
8844,8831,66-203
7177,3955,966-203
8846,8829,66-203
7175,6590,309-221
8848,8827,66-203
7171,6592,309-221
8850,8823,66-203
1402,1392,67A-202
8382,8879,66-203
8384,8268,66-203
1861,8016,66-203
7627,8068,321-202
7627,8018,66-203
7625,8070,321-202
7623,1536,321-202
7500,7503,321-202
7502,7501,321-202
1745,7615,321-202
7620,8069,321-202
7622,8067,321-202
7624,1882,321-202
7624,8009,66-203
1856,1022,66-203
8385,8034,66-203
8383,8814,66-203
1405,8587,67A-202
8581,6702,309-203
8581,1867,309-221
8736,8969,67A-202
7709,1042,67A-202
7699,8742,67A-202
8541,4015,966-203
7180,6595,309-203
7180,6599,309-221
7180,4351,966-203
7202,6592,309-203
7202,6597,309-221
7202,4084,966-203
7208,6596,309-203
7208,3901,966-203
8700,6957,309-203
8700,6614,309-221
1866,8704,309-203
1866,6948,309-221
8704,6955,309-203
8704,6724,309-221
8715,6729,309-203
8715,6721,309-221
8708,6623,309-203
8708,6726,309-221
8713,8091,309-203
8713,6733,309-221
8712,2419,309-203
8093,6728,309-221
8091,2392,309-203
8091,8711,309-221
8716,6724,309-203
8716,6716,309-221
8711,2390,309-203
8711,6731,309-221
8718,6728,309-203
8718,8750,309-221
8709,6953,309-203
8709,6729,309-221
8707,8703,309-203
8707,6611,309-221
8703,6626,309-203
8703,6613,309-221
8701,6593,309-203
8701,6615,309-221
7207,6328,309-221
7205,6600,309-221
7203,6602,309-221
7203,4136,966-203
7203,1881,OUT-202
8742,1763,67A-202
7201,6595,309-221
7201,4140,966-203
8739,8960,67A-202
7795,8958,67A-202
1039,1040,309-221
6680,6694,309-203
2392,8711,309-203
2390,8709,309-203
6953,8707,309-203
6955,2033,309-203
6955,7055,309-221
6955,6362,325-221
6626,6567,309-203
6626,6364,325-221
2063,6366,325-221
6197,6392,325-221
6197,2355,361-203
2211,7064,309-203
6606,7164,309-203
6606,7207,309-221
6328,7205,309-221
6600,7170,309-203
6600,7203,309-221
6602,7180,309-203
6602,7201,309-221
6595,7177,309-221
6592,7208,309-203
6592,7151,309-221
6596,8700,309-203
6596,7063,309-221
6957,1866,309-203
2033,8708,309-203
6623,8712,309-203
2419,8093,309-203
6724,6726,309-203
6724,8708,309-221
6726,8718,309-203
6726,8712,309-221
6728,8750,309-203
8750,6718,309-203
8750,6714,309-221
6718,8752,309-203
6718,8716,309-221
8752,8780,309-203
8752,6706,309-221
8780,6716,309-203
8780,6708,309-221
6716,8718,309-221
6714,8756,309-203
6714,6712,309-221
8756,8754,309-203
8756,6710,309-221
8754,6712,309-203
8754,6704,309-221
6712,8752,309-221
6706,1496,309-203
6706,8780,309-221
1496,6708,309-203
1496,6707,309-221
6708,8971,309-203
